Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A568668,Rosie,Stuart Circle And Jain Lane in Austin (TX),Stray,Aged,Dog,Spayed Female,14.0,Chihuahua Shorthair,Brown,Spayed Female,14.0,0.0,2019,12,2019,12,2005,3
A714460,,12900 N Ih35 in Austin (TX),Stray,Normal,Cat,Intact Male,0.25,Domestic Shorthair Mix,Gray Tabby,Neutered Male,0.25,0.0,2015,10,2015,10,2015,7
A739413,,12609 Dessau Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,1.0,Domestic Shorthair Mix,Seal Point/Gray,Spayed Female,1.0,0.0,2016,12,2016,12,2015,12
A781833,Bella,8601 Research Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Labrador Retriever,Tan,Spayed Female,0.16666666666666666,0.0,2018,10,2018,10,2018,8
A712523,,920 Water St in Travis (TX),Stray,Normal,Cat,Unknown,0.057692307692307696,Domestic Shorthair Mix,Black,Unknown,0.057692307692307696,0.0,2015,9,2015,9,2015,9
A776489,Beans,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,0.16666666666666666,Catahoula Mix,Black Brindle/White,Neutered Male,0.16666666666666666,0.0,2018,7,2018,7,2018,5
A764846,,6Th Street And Ih35 in Austin (TX),Stray,Normal,Dog,Intact Female,0.8333333333333333,Catahoula Mix,Blue/White,Spayed Female,0.8333333333333333,1.0,2018,1,2018,1,2017,3
A730545,Ty,8501 Cameron Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Pit Bull Mix,Brown Brindle/White,Neutered Male,2.0,0.0,2016,7,2016,10,2014,7
A797141,Arthur,Riverside Dr And Crossing Place in Austin (TX),Stray,Injured,Cat,Intact Male,0.16666666666666666,Domestic Shorthair,Blue,Intact Male,0.16666666666666666,0.0,2019,6,2019,6,2019,4
A730816,*Chartreuse,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.25,Domestic Shorthair Mix,Black/White,Spayed Female,0.25,0.0,2016,7,2016,7,2016,3
A799062,Damien,Webberville And Rosewood in Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Miniature Pinscher,Black/Tan,Neutered Male,1.0,0.0,2019,7,2019,7,2018,7
A764822,,Pearce Lane And Ross Road in Del Valle (TX),Stray,Normal,Livestock,Intact Female,2.0,Potbelly Pig Mix,White,Intact Female,2.0,0.0,2018,1,2018,2,2016,1
A673522,,Austin (TX),Stray,Normal,Cat,Intact Male,0.0,Domestic Shorthair Mix,Black,Intact Male,0.008219178082191782,0.0,2014,2,2014,2,2014,2
A784556,,7712 Black Mountain in Austin (TX),Stray,Sick,Other,Unknown,0.5,Chinchilla Mix,Gray,Unknown,0.5,0.0,2018,11,2018,11,2018,5
A811171,,1010 Turtle Creek Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Chihuahua Shorthair,Tan,Neutered Male,0.3333333333333333,0.0,2019,12,2020,1,2019,8
A727384,,Austin (TX),Stray,Normal,Cat,Unknown,0.038461538461538464,Domestic Shorthair Mix,Black,Unknown,0.07692307692307693,1.0,2016,5,2016,5,2016,5
A769626,Elsie,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12.0,Cocker Spaniel Mix,Tan,Spayed Female,12.0,0.0,2018,4,2018,4,2006,4
A794697,*Nermal,1602 E 2Nd in Austin (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Brown Tabby,Spayed Female,0.3333333333333333,0.0,2019,5,2019,7,2019,3
A737173,*Annabelle,6229 Turnersville Rd in Creedmoor (TX),Stray,Injured,Dog,Intact Female,10.0,Australian Shepherd Mix,Black/Brown,Intact Female,10.0,0.0,2016,10,2016,10,2006,10
A777720,*Meryl,15900 Decker Lake Road in Manor (TX),Stray,Normal,Dog,Intact Female,0.5,Pit Bull Mix,Brown Brindle/White,Intact Female,0.5833333333333333,0.0,2018,8,2018,8,2018,1
A680624,Axle,Fm 620 And Anderson Mill in Austin (TX),Stray,Normal,Dog,Neutered Male,11.0,American Eskimo Mix,White/Red,Neutered Male,12.0,0.0,2014,6,2014,7,2002,7
A753297,,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.08333333333333333,Snowshoe Mix,Lynx Point,Neutered Male,0.16666666666666666,0.0,2017,7,2017,7,2017,5
A809697,Luna,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3.0,German Shepherd,Brown,Spayed Female,3.0,0.0,2019,11,2020,1,2016,11
A719181,Paloma,Alpine And Jacobson Rd in Travis (TX),Stray,Normal,Dog,Spayed Female,1.0,Chihuahua Shorthair Mix,White,Spayed Female,1.0,0.0,2016,1,2016,3,2015,1
A763964,,7510 Compass Drive in Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Yorkshire Terrier Mix,Tan,Intact Female,0.08333333333333333,0.0,2017,12,2017,12,2017,10
A698139,,6405 Ponca in Austin (TX),Stray,Normal,Cat,Unknown,0.25,Domestic Shorthair Mix,Black,Unknown,0.25,0.0,2015,3,2015,3,2014,11
A614104,Bunny,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8.0,Pit Bull Mix,White/Tan,Spayed Female,7.0,0.0,2019,3,2019,1,2011,3
A708583,Lucky,Austin (TX),Euthanasia Request,Injured,Dog,Unknown,4.0,Rat Terrier Mix,White/Tricolor,Unknown,4.0,1.0,2015,7,2015,7,2011,7
A727122,Kiki,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8.0,Domestic Shorthair Mix,Calico,Spayed Female,8.0,0.0,2016,5,2016,5,2008,5
A716591,Vin Diesel,Dovewood in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2.0,Pit Bull Mix,Brown Brindle,Intact Male,2.0,0.0,2015,12,2016,1,2013,12
A727778,,1156 W Cesar Chavez St in Austin (TX),Stray,Normal,Cat,Intact Male,0.019230769230769232,Domestic Longhair Mix,Brown Tabby,Intact Male,0.038461538461538464,1.0,2016,5,2016,5,2016,5
A707819,,200001 Harrier Flight Trail in Pflugerville (TX),Stray,Normal,Cat,Intact Male,0.3333333333333333,Domestic Shorthair Mix,Black,Intact Male,0.3333333333333333,0.0,2015,7,2015,7,2015,3
A679568,,Loyola Lane in Austin (TX),Stray,Normal,Dog,Intact Male,0.16666666666666666,Pit Bull Mix,Tan,Neutered Male,0.25,0.0,2014,5,2014,5,2014,2
A756500,Webber,3816 South Lamar in Austin (TX),Public Assist,Normal,Cat,Neutered Male,2.0,Maine Coon,Brown Tabby,Neutered Male,2.0,0.0,2017,8,2017,8,2015,8
A736755,*Pablo,208 Dry Creek Rd in Travis (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,0.08333333333333333,0.0,2016,10,2016,10,2016,9
A789063,Sasha,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2.0,Pit Bull Mix,Black,Spayed Female,2.0,0.0,2019,2,2019,7,2017,2
A803672,Talulah,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.5,Domestic Shorthair,Blue,Spayed Female,0.5,0.0,2019,9,2019,9,2019,3
A700221,Dottie,Riverside in Austin (TX),Stray,Normal,Dog,Spayed Female,7.0,Dalmatian Mix,White/Black,Spayed Female,7.0,0.0,2015,4,2015,4,2008,4
A728467,Terra,Ranch Rd & Sheep Hollow Trail in Travis (TX),Stray,Normal,Dog,Spayed Female,8.0,Pit Bull Mix,Fawn/White,Spayed Female,8.0,0.0,2016,6,2016,6,2008,1
A718299,Harley,13466 Us 183 in Austin (TX),Stray,Normal,Dog,Intact Female,5.0,Pit Bull Mix,Brown/White,Spayed Female,6.0,0.0,2015,12,2017,11,2010,12
A759795,,10103 Capitol View Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3.0,Domestic Shorthair Mix,Torbie,Intact Female,3.0,0.0,2017,10,2017,10,2014,10
A783360,*Dave,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Golden Retriever/Standard Poodle,Apricot,Intact Male,1.0,0.0,2018,10,2018,11,2017,10
A664446,*Riley,6201 E 290 in Austin (TX),Stray,Injured,Cat,Intact Male,3.0,Domestic Shorthair Mix,Orange Tabby,Neutered Male,3.0,0.0,2013,10,2014,3,2010,10
