Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,Time_In_Shelter,Neutered_Spayed_In_Shelter,percent
A814549,Named,Outside (TX),Owner Surrender,Normal,Dog,Spayed Female,0.6666666666666666,Pure-Breed,Mixed-Color,Spayed Female,0.6666666666666666,0.0,2020,3,2020,3,2019,7,0.0,No,0.14641288433382138
A814548,Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.25,Cross-Breed,Mixed-Color,Neutered Male,0.3333333333333333,0.0,2020,3,2020,3,2019,11,0.08333333333333331,Yes,0.33444816053511706
A814547,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814546,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814544,Unnamed,Other (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814542,Named,Austin (TX),Public Assist,Normal,Dog,Intact Male,7.0,Pure-Breed,Mixed-Color,Neutered Male,7.0,0.0,2020,3,2020,3,2013,3,0.0,Yes,0.33444816053511706
A814541,Unnamed,Austin (TX),Wildlife,Injured,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814535,Unnamed,Austin (TX),Stray,Injured,Cat,Spayed Female,8.0,Pure-Breed,Pure-Color,Spayed Female,8.0,1.0,2020,3,2020,3,2012,3,0.0,No,0.14641288433382138
A814534,Unnamed,Austin (TX),Stray,Injured,Cat,Intact Male,3.0,Pure-Breed,Mixed-Color,Intact Male,3.0,1.0,2020,3,2020,3,2017,3,0.0,No,0.14641288433382138
A814531,Unnamed,Other (TX),Wildlife,Injured,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814530,Unnamed,Austin (TX),Wildlife,Injured,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814528,Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.75,Pure-Breed,Pure-Color,Intact Female,0.75,0.0,2020,3,2020,3,2019,6,0.0,No,0.14641288433382138
A814527,Named,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Mixed-Breed,Mixed-Color,Neutered Male,1.0,0.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814526,Named,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Mixed-Breed,Mixed-Color,Intact Female,1.0,0.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814521,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Mixed-Breed,Mixed-Color,Intact Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814518,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Pure-Breed,Mixed-Color,Neutered Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814517,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Cross-Breed,Mixed-Color,Neutered Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814514,Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1.0,Pure-Breed,Pure-Color,Neutered Male,1.0,0.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814513,Unnamed,Other (TX),Stray,Normal,Cat,Intact Female,2.0,Mixed-Breed,Mixed-Color,Intact Female,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814512,Unnamed,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Pure-Breed,Pure-Color,Neutered Male,1.0,0.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814511,Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.8333333333333333,Mixed-Breed,Mixed-Color,Intact Male,0.8333333333333333,0.0,2020,3,2020,3,2019,5,0.0,No,0.14641288433382138
A814509,Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6.0,Pure-Breed,Pure-Color,Neutered Male,6.0,0.0,2020,3,2020,3,2014,3,0.0,No,0.14641288433382138
A814508,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814507,Named,Other (TX),Public Assist,Normal,Dog,Intact Female,10.0,Mixed-Breed,Pure-Color,Intact Female,10.0,0.0,2020,3,2020,3,2010,3,0.0,No,0.14641288433382138
A814506,Named,Other (TX),Stray,Normal,Dog,Intact Male,2.0,Mixed-Breed,Pure-Color,Intact Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814505,Unnamed,Other (TX),Stray,Normal,Cat,Intact Female,0.16666666666666666,Pure-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,Yes,0.33444816053511706
A814504,Unnamed,Other (TX),Stray,Normal,Cat,Intact Male,0.16666666666666666,Pure-Breed,Pure-Color,Intact Male,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,No,0.14641288433382138
A814503,Unnamed,Other (TX),Stray,Normal,Cat,Intact Male,0.16666666666666666,Pure-Breed,Pure-Color,Intact Male,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,No,0.14641288433382138
A814502,Unnamed,Other (TX),Stray,Normal,Cat,Intact Female,0.16666666666666666,Pure-Breed,Mixed-Color,Spayed Female,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,Yes,0.33444816053511706
A814501,Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Mixed-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814500,Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Pure-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814499,Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Pure-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814498,Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Mixed-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814497,Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Pure-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814496,Unnamed,Other (TX),Stray,Normal,Cat,Intact Female,0.41666666666666663,Pure-Breed,Pure-Color,Intact Female,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814494,Named,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,0.3333333333333333,Mixed-Breed,Mixed-Color,Spayed Female,0.41666666666666663,0.0,2020,3,2020,3,2019,10,0.08333333333333331,Yes,0.33444816053511706
A814493,Unnamed,Austin (TX),Stray,Normal,Cat,Unknown,2.0,Mixed-Breed,Pure-Color,Unknown,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814492,Named,Other (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Mixed-Breed,Mixed-Color,Intact Male,0.3333333333333333,0.0,2020,3,2020,3,2019,10,0.0,No,0.14641288433382138
A814489,Unnamed,Austin (TX),Stray,Injured,Dog,Intact Male,5.0,Pure-Breed,Pure-Color,Intact Male,5.0,1.0,2020,3,2020,3,2015,3,0.0,No,0.14641288433382138
A814487,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814486,Named,Austin (TX),Stray,Normal,Dog,Intact Male,3.0,Mixed-Breed,Mixed-Color,Neutered Male,3.0,0.0,2020,3,2020,3,2017,3,0.0,Yes,0.33444816053511706
A814480,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814476,Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,0.5833333333333333,Pure-Breed,Mixed-Color,Neutered Male,0.5833333333333333,0.0,2020,3,2020,3,2019,7,0.0,No,0.14641288433382138
A814475,Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.5833333333333333,Pure-Breed,Mixed-Color,Neutered Male,0.5833333333333333,0.0,2020,2,2020,3,2019,7,0.0,Yes,0.33444816053511706
A814473,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814472,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814471,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814470,Named,Other (TX),Stray,Normal,Dog,Neutered Male,9.0,Mixed-Breed,Mixed-Color,Neutered Male,9.0,0.0,2020,2,2020,2,2010,11,0.0,No,0.14641288433382138
A814469,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Pure-Breed,Pure-Color,Neutered Male,2.0,0.0,2020,2,2020,3,2018,3,0.0,Yes,0.33444816053511706
