Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,percent,Time_In_Shelter,Neutered_Spayed_In_Shelter
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Mixed-Breed,Pure-Color,Intact Female,1.0,0.0,2013,12,2013,12,2012,12,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.038461538461538464,Mixed-Breed,Pure-Color,Intact Male,0.038461538461538464,0.0,2015,5,2015,5,2015,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Unknown,0.41666666666666663,Pure-Breed,Mixed-Color,Unknown,0.5,0.0,2019,7,2019,7,2019,1,0.15408320493066258,0.08333333333333337,No
Named,Austin (TX),Euthanasia Request,Normal,Dog,Intact Male,4.0,Mixed-Breed,Mixed-Color,Intact Male,4.0,1.0,2014,2,2014,2,2009,10,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2019,11,2019,12,2018,11,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Pure-Breed,Mixed-Color,Spayed Female,1.0,0.0,2019,2,2019,2,2018,2,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Female,5.0,Pure-Breed,Pure-Color,Intact Female,5.0,0.0,2019,7,2019,7,2014,7,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.057692307692307696,Mixed-Breed,Mixed-Color,Intact Female,0.057692307692307696,0.0,2014,5,2014,5,2014,4,0.15408320493066258,0.0,No
Unnamed,Other (TX),Stray,Normal,Cat,Intact Male,0.3333333333333333,Mixed-Breed,Mixed-Color,Intact Male,0.3333333333333333,0.0,2015,8,2015,8,2015,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Public Assist,Normal,Cat,Intact Female,11.0,Mixed-Breed,Mixed-Color,Intact Female,11.0,0.0,2019,3,2019,3,2008,3,0.15408320493066258,0.0,No
Named,Other (TX),Public Assist,Normal,Dog,Intact Male,1.0,Mixed-Breed,Mixed-Color,Intact Male,1.0,0.0,2019,3,2019,3,2018,3,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Mixed-Breed,Mixed-Color,Intact Female,1.0,0.0,2017,7,2017,7,2016,1,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Mixed-Breed,Pure-Color,Spayed Female,1.0,0.0,2015,8,2015,9,2014,8,0.2849002849002849,0.0,Yes
Named,Other (TX),Stray,Normal,Dog,Spayed Female,1.0,Mixed-Breed,Pure-Color,Spayed Female,1.0,0.0,2015,3,2015,4,2014,3,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Female,0.16666666666666666,Mixed-Breed,Pure-Color,Spayed Female,0.25,0.0,2015,9,2015,9,2015,6,0.2849002849002849,0.08333333333333334,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Mixed-Breed,Mixed-Color,Intact Female,0.08333333333333333,0.0,2019,11,2019,12,2019,10,0.15408320493066258,0.0,No
Named,Other (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Mixed-Breed,Mixed-Color,Spayed Female,0.16666666666666666,0.0,2018,5,2018,5,2018,2,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Mixed-Breed,Pure-Color,Spayed Female,1.0,0.0,2016,3,2016,3,2014,9,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Mixed-Breed,Pure-Color,Spayed Female,2.0,0.0,2019,4,2019,5,2017,4,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,9.0,Mixed-Breed,Pure-Color,Neutered Male,9.0,0.0,2017,9,2017,10,2008,9,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Pure-Breed,Mixed-Color,Neutered Male,0.16666666666666666,0.0,2019,11,2019,12,2019,9,0.2849002849002849,0.08333333333333333,Yes
Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1.0,Mixed-Breed,Pure-Color,Neutered Male,1.0,0.0,2019,11,2019,12,2018,7,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2.0,Mixed-Breed,Mixed-Color,Spayed Female,2.0,0.0,2015,7,2015,7,2013,3,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Mixed-Breed,Mixed-Color,Intact Male,1.0,0.0,2019,4,2019,4,2018,4,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Spayed Female,5.0,Mixed-Breed,Mixed-Color,Spayed Female,5.0,0.0,2014,8,2014,9,2009,8,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Pure-Breed,Mixed-Color,Neutered Male,1.0,0.0,2015,8,2015,8,2014,7,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3.0,Mixed-Breed,Mixed-Color,Neutered Male,3.0,0.0,2016,4,2016,5,2013,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Mixed-Breed,Pure-Color,Intact Female,0.16666666666666666,0.0,2016,2,2016,2,2015,12,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,3.0,Pure-Breed,Mixed-Color,Unknown,3.0,1.0,2013,12,2013,12,2010,12,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.41666666666666663,Cross-Breed,Mixed-Color,Intact Male,0.41666666666666663,0.0,2018,6,2018,6,2018,1,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,0.41666666666666663,Mixed-Breed,Mixed-Color,Neutered Male,0.41666666666666663,0.0,2017,5,2017,5,2016,11,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Mixed-Breed,Pure-Color,Neutered Male,2.0,0.0,2014,6,2014,6,2012,6,0.2849002849002849,0.0,Yes
Unnamed,Outside (TX),Stray,Normal,Cat,Intact Female,0.038461538461538464,Mixed-Breed,Pure-Color,Intact Female,0.038461538461538464,0.0,2017,9,2017,9,2017,8,0.15408320493066258,0.0,No
Unnamed,Other (TX),Stray,Normal,Cat,Unknown,0.038461538461538464,Mixed-Breed,Pure-Color,Unknown,0.038461538461538464,0.0,2018,3,2018,3,2018,3,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Pure-Breed,Mixed-Color,Neutered Male,0.25,0.0,2019,9,2019,10,2019,7,0.2849002849002849,0.16666666666666669,Yes
Named,Austin (TX),Stray,Sick,Cat,Intact Female,0.08333333333333333,Mixed-Breed,Pure-Color,Intact Female,0.08333333333333333,0.0,2015,7,2015,7,2015,5,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Sick,Other,Intact Female,1.0,Mixed-Breed,Mixed-Color,Intact Female,1.0,0.0,2015,6,2015,6,2014,6,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,0.75,Mixed-Breed,Mixed-Color,Neutered Male,1.0,0.0,2018,11,2019,2,2018,2,0.2849002849002849,0.25,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.5833333333333333,Pure-Breed,Mixed-Color,Neutered Male,0.6666666666666666,0.0,2019,4,2019,4,2018,8,0.2849002849002849,0.08333333333333337,Yes
